Machine_ID,Temperature,Run_Time,Downtime_Flag
1,94.75987589205187,58.68376605700385,0
2,51.75075286558668,345.98333008582983,0
3,69.25205228583835,276.788272126251,1
4,65.6247516704176,489.1428394315029,1
5,101.55298499148087,185.7501821940358,1
6,97.36896411960379,205.0884249447428,0
7,112.45256973933918,103.00619545892899,0
8,56.08571828405913,69.85826235275924,1
9,79.53452737796893,425.5362623472037,1
10,52.08580536066492,232.8115105995534,0
11,65.30465823625224,334.7566816503692,1
12,85.37487016723537,324.4351889442766,1
13,51.85751787787046,302.6015201645771,1
14,63.918635548065396,20.465152820821608,1
15,95.49191064456662,395.5293493227622,1
16,88.14590364222516,129.3487596103716,0
17,65.43084354284878,71.70270380094101,1
18,91.24859787131362,286.643208194902,1
19,106.66013196744787,43.61897488393439,0
20,50.45491317746427,384.92711418540637,1
21,106.40734762829655,111.50711146986266,0
22,98.86975764917588,115.81616244015063,0
23,73.81753615625944,436.1507591170769,1
24,60.88356498682471,170.9941811817929,0
25,117.00491505447468,82.30154817130742,1
26,73.56161815788387,451.2602074595615,0
27,56.492209036610355,11.389420225208012,1
28,56.77014637834248,430.6190019262864,1
29,109.32460564432219,80.89711035704892,0
30,92.26082219568238,73.69614440728404,1
31,106.49897912920662,132.82055639678066,0
32,101.08122506856725,95.5035892416828,1
33,87.53596640182906,333.91824487268525,0
34,118.11810347855594,22.632273395237196,1
35,76.49740640458475,17.281560343047335,0
36,88.6428441891259,397.0924854750294,1
37,108.05832649770964,126.5864869843269,1
38,93.29638266549722,168.648016361391,0
39,110.31948302175441,95.38063868902682,0
40,90.41465016797335,35.67551875197649,0
41,99.32002853504464,373.44184790753326,1
42,53.207706855896355,267.7819080329549,1
43,65.95287929560828,375.3759847666579,0
44,70.25715745214751,243.36052305739264,0
45,55.585438384653926,391.22834926395933,0
46,66.29536204527211,261.4865992285039,0
47,57.070100058681035,63.4364649018843,1
48,69.45815221770644,256.8809579950524,0
49,94.49791109850801,473.2536650553521,1
50,75.5382525279059,31.248868080594136,1
51,75.91266769818179,393.781228030386,0
52,64.66549215400414,434.82064480232077,0
53,68.68844754343793,265.5110952094112,0
54,115.56582113987459,234.4408358278642,0
55,95.36247696726156,482.3728297297941,1
56,92.63917039668917,39.804449672307854,0
57,61.97970537386679,244.701136389198,0
58,101.03887585652444,206.79245471115462,1
59,61.43817456333499,346.187773070494,0
60,76.56188092303535,250.23173853067038,1
61,119.26663454456167,455.7534062664624,1
62,94.7999831897865,46.010450725560744,1
63,88.98648206422524,49.58733393128804,1
64,97.92299756929123,308.0657375803856,1
65,108.99963441328667,42.18429432685582,1
66,104.31999380823714,144.75783978339706,1
67,66.0333650374873,320.2075949074976,1
68,52.24701707328264,278.6946526836967,1
69,72.08171336413574,169.34086722614728,1
70,68.74186131829919,497.3676003718525,0
71,64.76879905104285,269.97285034134904,1
72,116.00368000345381,232.3205546119811,1
73,111.34573385308681,306.6591278523033,0
74,72.02745165589346,58.597446222730575,1
75,95.88070657064159,353.8719150875724,1
76,77.6942330742465,427.86844127483175,1
77,114.01833128183804,328.9491657918396,0
